,cwe-type,source-code
0,103,1
1,104,2
2,106,3
3,107,4
4,110,5
5,111,6
6,1235,7
7,197,8
8,209,9
9,209,10
10,245,11
11,246,12
12,248,13
13,366,14
14,374,15
15,375,16
16,382,17
17,383,18
18,395,19
19,460,20
20,470,21
21,470,22
22,476,23
23,476,24
24,478,25
25,481,26
26,484,27
27,486,28
28,486,29
29,487,30
30,491,31
31,491,32
32,492,33
33,492,34
34,492,35
35,493,36
36,493,37
37,495,38
38,496,39
39,498,40
40,499,41
41,500,42
42,502,43
43,537,44
44,537,45
45,543,46
46,567,47
47,568,48
48,572,49
49,574,50
50,575,51
51,576,52
52,577,53
53,577,54
54,578,55
55,578,56
56,579,57
57,580,58
58,582,59
59,583,60
60,585,61
61,586,62
62,594,63
63,595,64
64,595,65
65,607,66
66,608,67
67,609,68
68,7,69
69,767,70
